,NUST-Pk 8,NUST- Pk 9,NUST- Pk 11,NUST- Pk 12,NUST- Pk 13,NUST- Pk 14,NUST- Pk 15,NUST- Pk 16,NUST- Pk 17
NUST-Pk 8,"(1.0, 0.0, 1.0)","(1.009, -0.165, 0.999)","(1.0, 0.053, 0.999)","(0.995, 0.085, 0.999)","(0.991, 0.051, 0.998)","(0.997, 0.18, 0.999)","(0.996, 0.197, 1.0)","(1.001, 0.006, 0.999)","(0.991, 0.207, 0.998)"
NUST- Pk 9,"(0.99, 0.184, 0.999)","(1.0, -0.0, 1.0)","(0.99, 0.233, 0.999)","(0.986, 0.258, 0.999)","(0.982, 0.222, 0.997)","(0.986, 0.371, 0.998)","(0.986, 0.373, 0.999)","(0.992, 0.178, 0.999)","(0.982, 0.385, 0.998)"
NUST- Pk 11,"(0.998, -0.029, 0.999)","(1.008, -0.209, 0.999)","(1.0, 0.0, 1.0)","(0.995, 0.033, 1.0)","(0.992, -0.005, 0.999)","(0.994, 0.181, 0.999)","(0.994, 0.167, 0.999)","(1.001, -0.043, 1.0)","(0.99, 0.188, 0.999)"
NUST- Pk 12,"(1.003, -0.062, 0.999)","(1.012, -0.243, 0.999)","(1.004, -0.023, 1.0)","(1.0, 0.0, 1.0)","(0.997, -0.052, 0.999)","(1.0, 0.097, 0.998)","(0.999, 0.124, 0.999)","(1.006, -0.079, 1.0)","(0.996, 0.104, 0.999)"
NUST- Pk 13,"(1.004, 0.005, 0.998)","(1.013, -0.157, 0.997)","(1.006, 0.031, 0.999)","(1.001, 0.076, 0.999)","(1.0, 0.0, 1.0)","(1.002, 0.167, 0.998)","(0.999, 0.205, 0.997)","(1.007, -0.018, 0.999)","(0.998, 0.175, 0.999)"
NUST- Pk 14,"(1.002, -0.167, 0.999)","(1.01, -0.318, 0.998)","(1.003, -0.147, 0.999)","(0.997, -0.054, 0.998)","(0.994, -0.116, 0.998)","(1.0, 0.0, 1.0)","(0.998, 0.023, 0.999)","(1.003, -0.162, 0.999)","(0.994, 0.037, 0.998)"
NUST- Pk 15,"(1.004, -0.191, 1.0)","(1.012, -0.354, 0.999)","(1.003, -0.139, 0.999)","(0.999, -0.095, 0.999)","(0.995, -0.138, 0.997)","(1.0, -0.004, 0.999)","(1.0, 0.0, 1.0)","(1.005, -0.187, 0.999)","(0.994, 0.034, 0.998)"
NUST- Pk 16,"(0.997, 0.016, 0.999)","(1.006, -0.158, 0.999)","(0.998, 0.049, 1.0)","(0.994, 0.083, 1.0)","(0.991, 0.038, 0.999)","(0.994, 0.195, 0.999)","(0.993, 0.211, 0.999)","(1.0, 0.0, 1.0)","(0.99, 0.207, 0.999)"
NUST- Pk 17,"(1.006, -0.171, 0.998)","(1.015, -0.341, 0.998)","(1.007, -0.156, 0.999)","(1.002, -0.083, 0.999)","(1.0, -0.159, 0.999)","(1.003, 0.002, 0.998)","(1.001, 0.02, 0.998)","(1.008, -0.183, 0.999)","(1.0, 0.0, 1.0)"
